name,operator,output,source,method,wikidata_id,latitude,longitude
"Port Dover and Nanticoke Wind Farm","Capital Power","104 MW","wind",,,,
"Poste des Cèdres","Hydro-Québec","103 MW","hydro","run-of-the-river",,,
"Bear Mountain Wind Farm","Bear Mountain Wind LP","102 MW","wind","wind_turbine",Q4876515,,
"South Canoe Wind Energy","Nova Scotia Power, Oxford Frozen Foods and Minas Basin Pulp and Power","102 MW","wind","wind_turbine",,,
"Parc éolien Montérégie","Kruger Énergie Montérégie S.E.C. (KÉMONT)","101 MW","wind",,,,
"Parc éolien Vents du Kempt","Eolectric","101 MW","wind",,,,
"Parc éolien Mont Sainte-Marguerite","Éolectric","101 MW","wind",,Q131927009,,
"Parc éolien Mont-Louis","Northland Power","100 MW","wind","wind_turbine",,,
"Parc éolien de l'Anse-a-Valleau","Cartier Énergie Éolienne","100 MW","wind",,Q3588993,,
"Corner Brook Pulp And Paper","Kruger","100 MW","biomass",,,,
"Grand Renewable Solar","Samsung Renewable Energy;Six Nations of the Grand River","100 MW","solar","photovoltaic",,,
"Hilda Wind Farm","RES Canada","100 MW","wind",,,,
"Kingston Solar","Samsung Renewable Energy;Six Nations of the Grand River","100 MW","solar","photovoltaic",,,
"Parc éolien de l'Érable","Enerfin Energy Co.","100 MW","wind",,,,
"Cape Scott Wind Farm",,"99 MW","wind","wind_turbine",,,
"Caribou Wind Park Wind Farm",,"99 MW","wind","wind_turbine",,,
"Erie Shores Wind Farm","Erie Shores Wind","99 MW","wind","wind_turbine",,,
"Saint Leon Wind Farm","Algonquin Power","99 MW","wind",,,,
"Sainte Rose Generating Station","NB Power","99 MW","diesel",,,,
"West Cape Wind Farm","Engie","99 MW","wind","wind_turbine",,,
"Centrale des Rapides-Farmer","Hydro-Québec","98 MW","hydro",,Q2944516,,
"Drumheller Solar Farm","Drumheller Solar Corporation","96 MW","solar","photovoltaic",,,
"Carseland Captive Power Station","Nutrien","95 MW","gas","combustion",,,
"Cameron Falls Generating Station",,"92 MW","hydro","run-of-the-river",Q65211708,,
"East Windsor Cogeneration Centre","Capital Power","92 MW","gas","combustion",,,
"Caribou Falls Generation Station","Ontario Power Generation","91 MW","hydro","run-of-the-river",,,
"Digby Neck Wind Farm","Sprott Power Corporation","90 MW","wind","wind_turbine",,,
"Ermine Power Station","SaskPower","90 MW","gas","combustion",,,
"Stave Falls Dam","BC Hydro","90 MW","hydro","water-storage",Q7604795,,
"Valleyview 1 / 2","ATCO Power","90 MW","gas","combustion",,,
"Spy Hill Power Plant","Northland Power Inc.","89 MW","gas","combustion",,,
"Montrose Creek Hydroelectric Project",,"88 MW","hydro",,,,
"Pine Falls Generating Station","Manitoba Hydro","88 MW","hydro","run-of-the-river",Q65211723,,
"Wintering Hills Wind Farm","TransAlta Renewables","88 MW","wind",,,,
"[unnamed]",,"88 MW","gas","combustion",,,
"Twin Rivers Paper","Twin Rivers Paper","87 MW","biomass","combustion",,,
"Chaudière Falls","Portage Power","84 MW","hydro","run-of-the-river",Q2944473,,
"Upper Salmon Hydroelectric Development","Bay D'Espoir Hydroelectric Development","84 MW","hydro","water-storage",,,
"Arnprior Generating Station","Ontario Power Generation","82 MW","hydro","run-of-the-river",Q65211689,,
"Ghost Pine Wind Farm","NextEra","82 MW","wind",,,,
"Upper Lillooet River",,"81 MW","hydro",,Q61375480,,
"Enmax Taber Wind Farm","ENMAX","81 MW","wind",,,,
"Air Liquide Scotford Complex Power Plant",,"80 MW","gas","combustion",,,
"Sarnia Solar Energy Project","First Solar","80 MW","solar","photovoltaic",,,
"Raleigh Wind Farm",,"78 MW","wind","wind_turbine",,,
"Centrale des Rapide-des-Cœurs","Hydro-Québec","76 MW","hydro","run-of-the-river",Q2944511,,
"Parc éolien de Témiscouata (Saint-Honoré, Saint-Elzéar)","Boralex","75 MW","wind",,,,
"Claresholm Solar 2","Capstone Infrastructure","75 MW","solar","photovoltaic",,,
"Clydesdale Solar","Capital Power","75 MW","solar","photovoltaic",,,
"Hinds Lake Generating Station",,"75 MW","hydro","run-of-the-river",Q5766221,,
"McBride Lake Wind Farm",,"75 MW","wind",,,,
"Pointe du Bois Generating Station","Manitoba Hydro","75 MW","hydro","run-of-the-river",Q65211725,,
"Parc éolien Roncevaux",,"75 MW","wind","wind_turbine",,,
"Mont-Rothery Wind Farm",,"74 MW","wind","wind_turbine",,,
"Ottawa Cogeneration Plant","TransAlta","74 MW","gas","combustion",,,
"Fort Nelson","BC Hydro","73 MW","gas","combustion",,,
"Manitou Station","Ontario Power Generation","73 MW","hydro",,Q65211717,,
"West Windsor Power Plant","TransAlta","72 MW","gas","combustion",,,
"Soderglen Wind Farm",,"70 MW","wind",,,,
"Alexander Falls Generating Station","Ontario Power Generation","69 MW","hydro","run-of-the-river",,,
"Ardenville Wind Farm","TransAlta Wind","69 MW","wind",,,,
"Whitedog Falls Generating Station","Ontario Power Generation","68 MW","hydro","run-of-the-river",,,
